airline,ticker,year,month,year_month,avg_close,avg_normalised,avg_daily_return,avg_volatility_30d,trading_days
Qantas,QAN.AX,2021,10,2021-10,5.210088866097586,246.3078286629127,-0.268599141348765,1.914411211860864,21
Qantas,QAN.AX,2021,11,2021-11,5.079996455799449,240.15768805503106,-0.22966363904432266,1.6495524652181275,22
Qantas,QAN.AX,2021,12,2021-12,4.587830520811535,216.89046058458604,-0.03885733102356525,1.9280571127835433,21
Qantas,QAN.AX,2022,1,2022-01,4.60867176557842,217.87573394116293,-0.22678746012759005,1.6153551918600362,19
Qantas,QAN.AX,2022,2,2022-02,4.867802572250366,230.12618647112953,0.3271520960047269,2.2230565371930817,20
Qantas,QAN.AX,2022,3,2022-03,4.6412289453589395,219.41488009878577,0.15080167441695022,2.7563457357945125,23
Qantas,QAN.AX,2022,4,2022-04,4.924518797132704,232.80745555496944,0.4251055784765608,2.2471564285324366,18
Qantas,QAN.AX,2022,5,2022-05,5.080418369986794,240.17763411929943,-0.05856352705830545,2.0580424484839064,22
Qantas,QAN.AX,2022,6,2022-06,4.5056286085219615,213.0043513360984,-0.9594952299954583,2.1005345952739676,21
Qantas,QAN.AX,2022,7,2022-07,4.161353554044451,196.7286901505579,0.10889224930904443,2.285612198310901,21
Qantas,QAN.AX,2022,8,2022-08,4.42010267921116,208.96109862307904,0.6961935352537337,1.7096632155887748,23
Qantas,QAN.AX,2022,9,2022-09,4.826038769313267,228.15179565313807,-0.25913929668949814,2.2759753451344653,21
Qantas,QAN.AX,2022,10,2022-10,5.203901745024181,246.01533147209102,0.7534583805971903,2.371900243620832,21
Qantas,QAN.AX,2022,11,2022-11,5.5685062841935595,263.25207247046797,0.3147360652508671,2.1639767292652703,22
Qantas,QAN.AX,2022,12,2022-12,5.707254862785339,269.81143489236155,-0.1774289078924174,1.6127440071195953,20
Qantas,QAN.AX,2023,1,2023-01,5.936027669906617,280.62670788047217,0.27504829109527507,1.472941412418042,20
Qantas,QAN.AX,2023,2,2023-02,5.969902801513672,282.2281604326728,0.08310875022100928,1.2764749430661468,20
Qantas,QAN.AX,2023,3,2023-03,6.027706229168436,284.9608272106932,0.14803701816949238,1.9884024996068608,23
